#,Pair,Amount,Price,Date
16124067,BTCUSD,-14.68385,409.36,2016-03-12 05:24:26
16124069,BTCUSD,-2.85,410.01,2016-03-12 05:24:26
16125121,BTCUSD,-0.01,413.5,2016-03-12 05:51:25
16126697,BTCUSD,-10.05,414.25,2016-03-12 10:04:28
16126699,BTCUSD,-5.42596345,414.46,2016-03-12 10:04:28
16126701,BTCUSD,-12.0,414.06,2016-03-12 10:04:28
16126703,BTCUSD,-1.0,414.0,2016-03-12 10:04:28
16126705,BTCUSD,-0.02407296,413.94,2016-03-12 10:04:28
16126707,BTCUSD,-0.75,413.94,2016-03-12 10:04:28
16126719,BTCUSD,-3.23224411,413.84,2016-03-12 10:07:44
16126721,BTCUSD,-0.014361,413.8,2016-03-12 10:07:47
16126727,BTCUSD,-0.01683101,413.6,2016-03-12 10:08:41
16126729,BTCUSD,-9.96149967,413.56,2016-03-12 10:08:41
16126731,BTCUSD,-0.02166932,413.6,2016-03-12 10:08:41
16126735,BTCUSD,-5.9971,413.58,2016-03-12 10:09:09
16126737,BTCUSD,-0.65773134,413.56,2016-03-12 10:09:09
16126747,BTCUSD,-9.66842714,413.53,2016-03-12 10:10:09
16190345,BTCUSD,-9.8554658,414.5,2016-03-15 14:47:14
16190347,BTCUSD,-1.0,414.52,2016-03-15 14:47:14
16190349,BTCUSD,-20.74026285,414.51,2016-03-15 14:47:14
16190351,BTCUSD,-1.00460135,414.5,2016-03-15 14:47:14
16203531,BTCUSD,-5.99768776,414.84,2016-03-16 05:54:07
16203535,BTCUSD,-20.0,414.8,2016-03-16 05:54:54
16203571,BTCUSD,-3.0,414.88,2016-03-16 06:03:03
16203573,BTCUSD,-0.5,414.89,2016-03-16 06:03:03
16203575,BTCUSD,-6.0038,414.87,2016-03-16 06:03:03
16203577,BTCUSD,-3.29853224,414.85,2016-03-16 06:03:03
17605398,BTCUSD,-6.5994,453.49,2016-05-17 08:09:41
17605400,BTCUSD,-6.7,453.51,2016-05-17 08:09:41
17605402,BTCUSD,-0.12,453.51,2016-05-17 08:09:41
17605436,BTCUSD,-7.9661527,453.48,2016-05-17 08:13:13
17605438,BTCUSD,-0.01,453.48,2016-05-17 08:13:33
17605530,BTCUSD,-0.58531479,453.48,2016-05-17 08:16:45
17605544,BTCUSD,-0.039,453.48,2016-05-17 08:16:49
17605736,BTCUSD,-0.64670265,453.27,2016-05-17 08:21:04
19575808,BTCUSD,-9.7781,751.49,2016-06-17 14:10:17
19575810,BTCUSD,-0.061,751.8,2016-06-17 14:10:17
19575812,BTCUSD,-3.0,751.82,2016-06-17 14:10:17
19575814,BTCUSD,-0.08098816,751.5,2016-06-17 14:10:17
19575816,BTCUSD,-1.0,751.62,2016-06-17 14:10:17
19575818,BTCUSD,-0.5,751.82,2016-06-17 14:10:17
19575820,BTCUSD,-6.0,751.82,2016-06-17 14:10:17
19575822,BTCUSD,-0.73212248,751.77,2016-06-17 14:10:17
19575824,BTCUSD,-0.1,751.5,2016-06-17 14:10:17
19575826,BTCUSD,-0.01,751.64,2016-06-17 14:10:17
19575828,BTCUSD,-0.1,751.5,2016-06-17 14:10:17
19575832,BTCUSD,-9.47377321,751.49,2016-06-17 14:10:21
20092366,BTCUSD,-5.0,725.0,2016-06-20 15:08:45
20092368,BTCUSD,-0.2,725.0,2016-06-20 15:08:45
