Date;Close;Open;High;Low;Variation;
Mar 01, 2017;1.0527;1.0569;1.0589;1.0524;-0,47 %;
Feb 28, 2017;1.0577;1.0585;1.0632;1.0568;-0,10 %;
Feb 27, 2017;1.0588;1.0560;1.0633;1.0549;0,24 %;
Feb 24, 2017;1.0563;1.0580;1.0620;1.0554;-0,17 %;
Feb 23, 2017;1.0581;1.0555;1.0597;1.0536;0,24 %;
Feb 22, 2017;1.0556;1.0533;1.0574;1.0492;0,18 %;
Feb 21, 2017;1.0537;1.0609;1.0618;1.0524;-0,73 %;
Feb 20, 2017;1.0614;1.0614;1.0637;1.0601;0,00 %;
Feb 17, 2017;1.0614;1.0672;1.0679;1.0602;-0,56 %;
Feb 16, 2017;1.0674;1.0598;1.0682;1.0586;0,69 %;
Feb 15, 2017;1.0601;1.0574;1.0611;1.0520;0,23 %;
Feb 14, 2017;1.0577;1.0596;1.0634;1.0559;-0,20 %;
Feb 13, 2017;1.0598;1.0632;1.0658;1.0590;-0,40 %;
Feb 10, 2017;1.0641;1.0655;1.0670;1.0606;-0,14 %;
Feb 09, 2017;1.0656;1.0697;1.0711;1.0648;-0,39 %;
Feb 08, 2017;1.0698;1.0681;1.0715;1.0638;0,16 %;
Feb 07, 2017;1.0681;1.0749;1.0751;1.0653;-0,64 %;
Feb 06, 2017;1.0750;1.0780;1.0801;1.0702;-0,32 %;
Feb 03, 2017;1.0784;1.0756;1.0800;1.0711;0,24 %;
Feb 02, 2017;1.0758;1.0766;1.0829;1.0752;-0,10 %;
Feb 01, 2017;1.0769;1.0796;1.0810;1.0729;-0,27 %;
Jan 31, 2017;1.0798;1.0692;1.0814;1.0681;0,96 %;
Jan 30, 2017;1.0695;1.0689;1.0742;1.0617;-0,04 %;
Jan 27, 2017;1.0699;1.0680;1.0729;1.0656;0,16 %;
Jan 26, 2017;1.0682;1.0744;1.0767;1.0655;-0,61 %;
Jan 25, 2017;1.0748;1.0730;1.0773;1.0709;0,16 %;
Jan 24, 2017;1.0731;1.0762;1.0775;1.0717;-0,32 %;
Jan 23, 2017;1.0765;1.0683;1.0773;1.0682;0,58 %;
Jan 20, 2017;1.0703;1.0663;1.0713;1.0623;0,37 %;
Jan 19, 2017;1.0664;1.0628;1.0677;1.0587;0,31 %;
Jan 18, 2017;1.0631;1.0712;1.0716;1.0624;-0,77 %;
