"txid","ordertxid","pair","time","type","ordertype","price","cost","fee","vol","margin","misc","ledgers"
"T7W2CE-BBUPO-FOA7OA","OSWDXJ-ZHRQO-L2YVKI","XXBTZEUR","2015-12-09 13:10:46.875","buy","limit",383.67879,3484.47194,9.05963,9.08174241,0.00000,"","LUVO4P-J5LKZ-W35E2G,L5IDF3-AYM3V-XDFU2L"
"TWQDBH-IDQFQ-X5IIE7","OSWDXJ-ZHRQO-L2YVKI","XXBTZEUR","2015-12-09 13:10:46.9673","buy","limit",383.80000,326.23000,0.84820,0.85000000,0.00000,"","LTIV2V-L7YFI-YG3NBU,LVNCUN-B5AUS-JO7CNC"
"T3EDDB-LPMFR-HN2P3N","OSWDXJ-ZHRQO-L2YVKI","XXBTZEUR","2015-12-09 13:10:47.0505","buy","limit",383.93677,6169.19492,16.03991,16.06825759,0.00000,"","LQ4UC6-5JIGQ-Q74ZWP,LLW3L3-5ISMU-4BEYDQ"
"TZUSJK-NTUGX-KM7SBD","OCPAP3-FIAZK-IO2TFZ","XETHXXBT","2015-12-09 13:26:50.5455","buy","market",0.001850,0.314500,0.000283,170.00000000,0.000000,"","LKMSCN-EELQY-4EGYK5,LGQO2G-HF7CG-N7GLIE"
"TIZUBF-AALFV-QRHR2Z","OE3AHK-WWXPA-WLKCDJ","XETHXXBT","2015-12-09 14:08:57.4802","buy","market",0.001860,1.424760,0.001282,766.00000000,0.000000,"","L3KQKD-DTQ6U-SRFWZ4,L5ZNEQ-UCKP3-XDXWHG"
"TY6FVP-YDF2A-RYGZQR","OSGCG2-JB5FQ-EZXLI7","XETHXXBT","2015-12-09 14:11:56.5831","buy","market",0.001860,0.327360,0.000294,176.00000000,0.000000,"","LPWAIC-3SFIF-HO7T4X,L54HR5-JXVV2-MU7V3F"
"TUBHEC-XAXLG-7UD2OD","O7PTA3-H4TBO-S6KHZT","XETHXXBT","2015-12-09 14:21:29.8104","buy","market",0.001850,0.000162,0.000001,0.08765778,0.000000,"","LDELAL-FHL5R-KHUMM2,LHQVKD-ATPV6-Q724NA"
"TWJWJO-VTIGB-4JUHP2","O7PTA3-H4TBO-S6KHZT","XETHXXBT","2015-12-09 14:21:30.0914","buy","market",0.001860,0.336536,0.000303,180.93314360,0.000000,"","LUICTT-FPM7D-6UHUX7,LM7IA6-OL3SX-ZO4TUL"
"TYXNY7-VLVXU-A3IYHJ","O7PTA3-H4TBO-S6KHZT","XETHXXBT","2015-12-09 14:21:30.1189","buy","market",0.001869,1.089667,0.000981,582.70972913,0.000000,"","LJJXT3-REZQU-Z45XBQ,LFAELB-2GZRX-ZJKB32"
"THRKSO-Y2JLM-JD6OFO","O7PTA3-H4TBO-S6KHZT","XETHXXBT","2015-12-09 14:21:30.172","buy","market",0.001880,7.024187,0.006322,3736.26946949,0.000000,"","L4HCXB-3RX7F-V2LWUC,LENWKC-W7DEB-T7YVUU"
