Date,Market,Category,Type,Price,Amount,Total,Fee,Order Number,Base Total Less Fee,Quote Total Less Fee
2016-12-07 04:03:06,ETH/BTC,Exchange,Buy,0.00998899,514.52348320,5.13956992,0.25%,161475270241,-5.13956992,513.23717450
2016-12-07 04:03:06,ETH/BTC,Exchange,Buy,0.00998898,96.31270000,0.96206563,0.25%,161475270241,-0.96206563,96.07191825
2016-12-07 04:03:06,ETH/BTC,Exchange,Buy,0.00997500,204.14850000,2.03638128,0.25%,161475270241,-2.03638128,203.63812875
2016-12-07 04:03:06,ETH/BTC,Exchange,Buy,0.00997499,73.83980000,0.73655126,0.25%,161475270241,-0.73655126,73.65520050
2016-12-07 04:03:06,ETH/BTC,Exchange,Buy,0.00995010,296.47885480,2.94999425,0.25%,161475270241,-2.94999425,295.73765767
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00961014,156.31635029,1.50222201,0.25%,78850814370,1.49846646,-156.31635029
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00961030,4.26761183,0.04101302,0.25%,78850814370,0.04091049,-4.26761183
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00961410,43.82337373,0.42132229,0.25%,78850814370,0.42026899,-43.82337373
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00961470,0.01687881,0.00016228,0.25%,78850814370,0.00016188,-0.01687881
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00961470,0.01971564,0.00018955,0.25%,78850814370,0.00018908,-0.01971564
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00961965,0.03375762,0.00032473,0.25%,78850814370,0.00032392,-0.03375762
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00961965,0.02957346,0.00028448,0.25%,78850814370,0.00028377,-0.02957346
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00964000,200.65045332,1.93427037,0.25%,78850814370,1.92943470,-200.65045332
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00964000,0.04372614,0.00042151,0.25%,78850814370,0.00042046,-0.04372614
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00964031,19.08403541,0.18397601,0.25%,78850814370,0.18351607,-19.08403541
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00964045,200.66321328,1.93448367,0.25%,78850814370,1.92964747,-200.66321328
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00964046,499.19817104,4.81249999,0.25%,78850814370,4.80046875,-499.19817104
2016-12-07 04:02:25,XMR/BTC,Exchange,Sell,0.00965241,0.01243294,0.00012000,0.25%,78850814370,0.00011970,-0.01243294
