Date;Close;Open;High;Low;Variation
Mar 01, 2017;113.82;113.09;113.88;112.77;0,92 %
Feb 28, 2017;112.78;112.69;112.91;111.67;0,07 %
Feb 27, 2017;112.70;112.07;112.86;111.89;0,45 %
Feb 24, 2017;112.19;112.60;112.96;111.91;-0,36 %
Feb 23, 2017;112.59;113.28;113.47;112.53;-0,63 %
Feb 22, 2017;113.30;113.69;113.75;112.88;-0,34 %
Feb 21, 2017;113.69;113.06;113.78;113.06;0,52 %
Feb 20, 2017;113.10;112.83;113.26;112.75;0,19 %
Feb 17, 2017;112.88;113.22;113.53;112.58;-0,31 %
Feb 16, 2017;113.23;114.14;114.36;113.06;-0,82 %
Feb 15, 2017;114.17;114.22;114.97;113.83;-0,08 %
Feb 14, 2017;114.26;113.72;114.50;113.21;0,45 %
Feb 13, 2017;113.75;113.31;114.17;113.26;0,47 %
Feb 10, 2017;113.22;113.22;113.88;112.84;-0,03 %
Feb 09, 2017;113.25;111.93;113.38;111.70;1,17 %
Feb 08, 2017;111.94;112.35;112.55;111.61;-0,40 %
Feb 07, 2017;112.39;111.73;112.58;111.57;0,57 %
Feb 06, 2017;111.75;112.39;112.81;111.60;-0,84 %
Feb 03, 2017;112.70;112.77;113.45;112.28;-0,10 %
Feb 02, 2017;112.81;113.24;113.36;112.03;-0,39 %
Feb 01, 2017;113.25;112.79;113.97;112.61;0,40 %
Jan 31, 2017;112.80;113.73;113.97;112.04;-0,86 %
Jan 30, 2017;113.78;115.08;115.14;113.43;-1,13 %
Jan 27, 2017;115.08;114.51;115.39;114.37;0,48 %
Jan 26, 2017;114.53;113.26;114.86;113.02;1,10 %
Jan 25, 2017;113.28;113.77;114.00;113.01;-0,46 %
Jan 24, 2017;113.80;112.69;113.91;112.49;0,98 %
Jan 23, 2017;112.70;114.35;114.45;112.66;-1,68 %
Jan 20, 2017;114.62;114.85;115.41;114.19;-0,22 %
Jan 19, 2017;114.87;114.62;115.62;114.37;0,17 %
Jan 18, 2017;114.67;112.60;114.77;112.55;1,80 %
Jan 17, 2017;112.64;114.18;114.30;112.58;-1,37 %
Jan 16, 2017;114.20;114.53;114.55;113.65;-0,29 %
Jan 13, 2017;114.53;114.70;115.46;114.18;-0,17 %
Jan 12, 2017;114.72;115.40;115.53;113.73;-0,60 %
Jan 11, 2017;115.41;115.77;116.86;114.23;-0,31 %
Jan 10, 2017;115.77;116.01;116.35;115.18;-0,22 %
Jan 09, 2017;116.03;116.89;117.53;115.96;-0,76 %
Jan 06, 2017;116.92;115.34;117.19;115.04;1,35 %
Jan 05, 2017;115.36;117.24;117.44;115.20;-1,63 %
Jan 04, 2017;117.27;117.74;118.19;117.02;-0,41 %
Jan 03, 2017;117.75;117.53;118.61;117.19;0,19 %
Jan 02, 2017;117.53;116.91;117.69;116.71;0,55 %
Dec 30, 2016;116.89;116.53;117.22;116.02;0,29 %
Dec 29, 2016;116.55;117.23;117.27;116.19;-0,60 %
Dec 28, 2016;117.25;117.39;117.83;117.03;-0,14 %
Dec 27, 2016;117.42;117.06;117.64;117.04;0,28 %
Dec 26, 2016;117.09;117.36;117.40;116.97;-0,22 %
Dec 23, 2016;117.35;117.51;117.67;117.14;-0,16 %
Dec 22, 2016;117.54;117.55;117.90;117.23;-0,01 %
Dec 21, 2016;117.55;117.83;118.07;117.07;-0,28 %
Dec 20, 2016;117.88;117.07;118.28;116.95;0,68 %
Dec 19, 2016;117.08;117.87;118.03;116.52;-0,77 %
Dec 16, 2016;117.99;118.17;118.43;117.44;-0,15 %
Dec 15, 2016;118.17;117.03;118.67;116.96;0,96 %
Dec 14, 2016;117.05;115.16;117.39;114.74;1,61 %
Dec 13, 2016;115.19;115.01;115.50;114.71;0,14 %
Dec 12, 2016;115.03;115.22;116.12;114.82;-0,32 %
