"txid","refid","time","type","aclass","asset","amount","fee","balance"
"LDWFGB-L5FYT-3NE22P","QCCG7YC-FN5QKH-2BC4BY","2015-12-09 07:50:57","deposit","currency","ZEUR",12499.0000,0.0000,12499.0000
"L5IDF3-AYM3V-XDFU2L","T7W2CE-BBUPO-FOA7OA","2015-12-09 13:10:46","trade","currency","XXBT",9.0817424100,0.0000000000,9.0817424100
"LUVO4P-J5LKZ-W35E2G","T7W2CE-BBUPO-FOA7OA","2015-12-09 13:10:46","trade","currency","ZEUR",-3484.4719,9.0596,9005.4685
"LVNCUN-B5AUS-JO7CNC","TWQDBH-IDQFQ-X5IIE7","2015-12-09 13:10:46","trade","currency","XXBT",0.8500000000,0.0000000000,9.9317424100
"LTIV2V-L7YFI-YG3NBU","TWQDBH-IDQFQ-X5IIE7","2015-12-09 13:10:46","trade","currency","ZEUR",-326.2300,0.8482,8678.3903
"LLW3L3-5ISMU-4BEYDQ","T3EDDB-LPMFR-HN2P3N","2015-12-09 13:10:47","trade","currency","XXBT",16.0682575900,0.0000000000,26.0000000000
"LQ4UC6-5JIGQ-Q74ZWP","T3EDDB-LPMFR-HN2P3N","2015-12-09 13:10:47","trade","currency","ZEUR",-6169.1949,16.0399,2493.1555
"LGQO2G-HF7CG-N7GLIE","TZUSJK-NTUGX-KM7SBD","2015-12-09 13:26:50","trade","currency","XETH",170.0000000000,0.0000000000,170.0000000000
"LKMSCN-EELQY-4EGYK5","TZUSJK-NTUGX-KM7SBD","2015-12-09 13:26:50","trade","currency","XXBT",-0.3145000000,0.0002830000,25.6852170000
"L5ZNEQ-UCKP3-XDXWHG","TIZUBF-AALFV-QRHR2Z","2015-12-09 14:08:57","trade","currency","XETH",766.0000000000,0.0000000000,936.0000000000
"L3KQKD-DTQ6U-SRFWZ4","TIZUBF-AALFV-QRHR2Z","2015-12-09 14:08:57","trade","currency","XXBT",-1.4247600000,0.0012820000,24.2591750000
"L54HR5-JXVV2-MU7V3F","TY6FVP-YDF2A-RYGZQR","2015-12-09 14:11:56","trade","currency","XETH",176.0000000000,0.0000000000,1112.0000000000
"LPWAIC-3SFIF-HO7T4X","TY6FVP-YDF2A-RYGZQR","2015-12-09 14:11:56","trade","currency","XXBT",-0.3273600000,0.0002940000,23.9315210000
"LHQVKD-ATPV6-Q724NA","TUBHEC-XAXLG-7UD2OD","2015-12-09 14:21:30","trade","currency","XETH",0.0876577800,0.0000000000,1112.0876577800
"LDELAL-FHL5R-KHUMM2","TUBHEC-XAXLG-7UD2OD","2015-12-09 14:21:30","trade","currency","XXBT",-0.0001620000,0.0000010000,23.9313580000
"LM7IA6-OL3SX-ZO4TUL","TWJWJO-VTIGB-4JUHP2","2015-12-09 14:21:30","trade","currency","XETH",180.9331436000,0.0000000000,1293.0208013800
"LUICTT-FPM7D-6UHUX7","TWJWJO-VTIGB-4JUHP2","2015-12-09 14:21:30","trade","currency","XXBT",-0.3365360000,0.0003030000,23.5945190000
"LFAELB-2GZRX-ZJKB32","TYXNY7-VLVXU-A3IYHJ","2015-12-09 14:21:30","trade","currency","XETH",582.7097291300,0.0000000000,1875.7305305100
"LJJXT3-REZQU-Z45XBQ","TYXNY7-VLVXU-A3IYHJ","2015-12-09 14:21:30","trade","currency","XXBT",-1.0896670000,0.0009810000,22.5038710000
"LENWKC-W7DEB-T7YVUU","THRKSO-Y2JLM-JD6OFO","2015-12-09 14:21:30","trade","currency","XETH",3736.2694694900,0.0000000000,5612.0000000000
"L4HCXB-3RX7F-V2LWUC","THRKSO-Y2JLM-JD6OFO","2015-12-09 14:21:30","trade","currency","XXBT",-7.0241870000,0.0063220000,15.4733620000
"LD4DMD-VNHMG-YJDMHC","THIDUR-ZEAMM-G4IBYE","2015-12-09 14:31:25","trade","currency","XETH",143.9909391500,0.0000000000,5755.9909391500
"L5E7GA-EO4ZB-OQEN3I","THIDUR-ZEAMM-G4IBYE","2015-12-09 14:31:25","trade","currency","XXBT",-0.2707030000,0.0002440000,15.2024150000
"L3OHI6-ARRHY-WD4REM","T62L3W-6O3NQ-7JJ6I2","2015-12-09 14:31:25","trade","currency","XETH",806.0090608500,0.0000000000,6562.0000000000
"LOBCAG-656NS-RNA756","T62L3W-6O3NQ-7JJ6I2","2015-12-09 14:31:25","trade","currency","XXBT",-1.5233570000,0.0013710000,13.6776870000
"LZPTWG-WNV3U-RKLXV2","TYU3YI-FD4E2-U4IAVQ","2015-12-09 14:35:12","trade","currency","XETH",250.0000000000,0.0000000000,6812.0000000000
"LVTNC4-JZSOA-R6S4QK","TYU3YI-FD4E2-U4IAVQ","2015-12-09 14:35:12","trade","currency","XXBT",-0.4700000000,0.0004230000,13.2072640000
"LMPNX3-LST55-CC2LHR","TUEBTG-663BG-CJ4MLT","2015-12-09 14:41:47","trade","currency","XETH",0.0857927300,0.0000000000,6812.0857927300
"LNWGMY-VBQQI-V2ZVZU","TUEBTG-663BG-CJ4MLT","2015-12-09 14:41:47","trade","currency","XXBT",-0.0001610000,0.0000010000,13.2071020000
"LLHLUL-5O7VJ-SIZYOJ","TW7ECN-5LWZI-GFYXBZ","2015-12-09 14:41:48","trade","currency","XETH",168.7868191800,0.0000000000,6980.8726119100
"L5S6WK-7W75N-QYFUVI","TW7ECN-5LWZI-GFYXBZ","2015-12-09 14:41:48","trade","currency","XXBT",-0.3190070000,0.0002870000,12.8878080000
"LBLA4C-ZBIQC-PWBGZR","TQB5S3-D4MFD-LUEIR6","2015-12-09 14:41:48","trade","currency","XETH",473.1273880900,0.0000000000,7454.0000000000
"LVNZ7T-CQ6OE-K4SUHU","TQB5S3-D4MFD-LUEIR6","2015-12-09 14:41:48","trade","currency","XXBT",-0.8989420000,0.0008090000,11.9880570000
"LQLNID-LHEEY-ENWIK4","TG6XSK-KHCWE-574VFV","2015-12-09 14:50:08","trade","currency","XETH",146.5400000000,0.0000000000,7600.5400000000
"L3CF73-7YX3L-BAYISZ","TG6XSK-KHCWE-574VFV","2015-12-09 14:50:08","trade","currency","XXBT",-0.2769610000,0.0002490000,11.7108470000
"LMYTJ5-QFXFL-L4EHTY","TMKGZQ-Z2RQP-C3AZXJ","2015-12-09 14:50:08","trade","currency","XETH",3.4600000000,0.0000000000,7604.0000000000
"L4SSJK-FVLBY-A7USE2","TMKGZQ-Z2RQP-C3AZXJ","2015-12-09 14:50:08","trade","currency","XXBT",-0.0065740000,0.0000060000,11.7042670000
"LLXLKD-CMVTO-IYDZWR","T5UGCO-IJI7H-XWF3EJ","2015-12-09 14:51:43","trade","currency","XETH",154.5588864000,0.0000000000,7758.5588864000
"LXIUFZ-ONI5V-S7CNN3","T5UGCO-IJI7H-XWF3EJ","2015-12-09 14:51:43","trade","currency","XXBT",-0.2905710000,0.0002620000,11.4134340000
"LZEBWN-QMTQZ-2VQAQI","T33YDR-7VVNW-AXQZ6F","2015-12-09 14:51:43","trade","currency","XETH",598.7100000000,0.0000000000,8357.2688864000
"L3QJ3T-3645U-GRICRP","T33YDR-7VVNW-AXQZ6F","2015-12-09 14:51:43","trade","currency","XXBT",-1.1315620000,0.0010180000,10.2808540000
"L5RGSM-UEWLL-2JY7VH","TUYBMP-EC5Z3-RXZDFM","2015-12-09 14:51:43","trade","currency","XETH",6.7311136000,0.0000000000,8364.0000000000
"L7L2AQ-HC3PX-RQHSEV","TUYBMP-EC5Z3-RXZDFM","2015-12-09 14:51:43","trade","currency","XXBT",-0.0127890000,0.0000120000,10.2680530000
"LO362M-LKX7S-ZNPRMJ","QCC4MJW-336LTT-JEC3GU","2015-12-10 10:49:21","deposit","currency","ZEUR",12498.0000,0.0000,14991.1555
"LMCFVN-65FRR-IOMYMS","TTLGVD-OMDMO-OT44SD","2015-12-10 14:25:00","trade","currency","XXBT",12.4000000000,0.0000000000,22.6680530000
"LPQVV6-4ISLB-6JDNHT","TTLGVD-OMDMO-OT44SD","2015-12-10 14:25:00","trade","currency","ZEUR",-4732.4598,11.3579,10247.3378
"LZW6NE-KCFXF-WF5TXI","TCFDBC-GEVZN-JZFV42","2015-12-10 14:28:57","trade","currency","XETH",432.8501370200,0.0000000000,8796.8501370200
"LDYUQN-7YK7Z-JVIHAP","TCFDBC-GEVZN-JZFV42","2015-12-10 14:28:57","trade","currency","XXBT",-0.8267440000,0.0007440000,21.8405650000
